lowlevel.silence_rate_60dB.stdev,lowlevel.spectral_contrast_valleys.mean.0,lowlevel.spectral_contrast_valleys.stdev.2,lowlevel.spectral_contrast_valleys.stdev.3,lowlevel.spectral_contrast_valleys.stdev.4,lowlevel.spectral_contrast_valleys.stdev.5,lowlevel.spectral_flux.mean,lowlevel.gfcc.mean.0,lowlevel.spectral_rms.mean,metadata.audio_properties.replay_gain,class
0.233371571,-6.887951,0.81645817,0.8734221,0.7943961,0.60214067,0.016400764,-265.71957,0.000613227,4.3984947,foreground
0.197041139,-8.010654,1.1681762,1.233392,1.1430907,1.3235418,0.011028218,-312.14536,0.000382841,5.705368,foreground
0.272719741,-7.1783657,0.60681015,0.76911724,0.85104924,1.0522883,0.062223058,-66.55761,0.003602481,-5.6706486,foreground
0.441809297,-7.6310387,1.398315,1.0074068,0.92347956,0.7317543,0.020137299,-332.62555,0.000966978,0.5373459,foreground
0,-7.884205,0.9273454,1.0448294,1.1458632,0.8154121,0.005853104,-345.42004,0.000246807,13.860241,foreground
0.444823891,-7.1592875,0.6618728,0.75788605,0.86475664,0.93076044,0.023579001,-163.73816,0.001401786,-1.5405998,foreground
0.450570554,-6.3470535,0.6804005,0.72794163,0.5790471,0.33387378,0.046292141,-112.79916,0.002390201,-1.5701828,foreground
0.495561451,-5.5536013,0.6870121,0.8971468,1.0256479,1.2022908,0.075615861,-118.57693,0.002373826,-3.8363838,foreground
0,-8.120554,0.5753863,0.55598366,0.40884626,0.27234125,0.004473721,-336.28546,0.000489288,13.285313,foreground
0,-8.125858,0.9526954,0.96247095,0.87548155,1.0070603,0.008900609,-234.66548,0.000395638,9.782646,foreground
0,-8.889948,1.6621137,1.7928513,1.5170918,1.7851182,0.008314444,-324.1472,0.000357933,9.653343,foreground
0,-7.970111,0.98906934,0.9930884,1.0019097,0.6465244,0.006469635,-381.20282,0.000250164,11.80442,foreground
0.312673658,-7.857112,1.0354443,0.8880493,0.783822,0.7303162,0.016226683,-385.81906,0.000644592,4.899456,foreground
0.378601789,-7.1030464,1.1730013,1.3298376,1.1921421,1.2047046,0.026701242,-272.82614,0.000893078,-2.4761448,foreground
0.397374988,-8.054449,1.5982218,1.8142407,1.7582741,1.1971318,0.014287677,-349.1815,0.000986838,2.1545448,foreground
0.106897324,-7.830144,1.2376251,0.6633563,0.4808113,0.42435962,0.008553986,-394.80914,0.000319109,9.938526,foreground
0,-7.4169617,0.33450472,0.28037,0.29492658,0.1526055,0.009376885,-241.52528,0.000894738,8.996189,foreground
0.233371392,-6.6894794,0.89839256,0.8684699,0.8049002,0.28512475,0.035960734,-135.99472,0.003619139,-5.327732,foreground
0,-9.482681,0.8883572,0.75889665,0.9386246,0.9316242,0.003661503,-454.2048,0.000150625,20.110779,foreground
0,-9.36362,1.0350257,1.0708493,1.2722232,1.174407,0.003052889,-440.8623,0.000202382,9.0893135,foreground
0.130538628,-6.607016,0.9428048,1.1351974,1.2361838,1.2673781,0.014910503,-233.12524,0.000677553,7.0778503,foreground
0.167530492,-7.132682,0.85411197,0.89103705,1.0946169,1.0916783,0.013594521,-245.93427,0.000555471,6.5328445,foreground
0.333161294,-6.7887783,1.0747801,1.0839721,1.0646521,0.98434615,0.017209291,-247.42192,0.000732696,3.4767838,foreground
0.475958377,-6.8751497,0.97052556,0.94241905,0.82473135,0.70801234,0.042224113,-182.95796,0.002267448,-2.7776241,foreground
0,-8.170704,0.722159,1.0858691,0.9128635,0.67057145,0.007676593,-382.03943,0.000282246,14.956032,foreground
0.401723474,-6.6048985,1.3781952,1.174329,1.1545069,0.9384124,0.038173683,-242.19579,0.001270451,-2.4368858,foreground
0.244009987,-6.274146,0.5626493,0.4898574,0.4942874,0.50394166,0.025157169,-173.2702,0.000967938,6.2922516,foreground
0,-9.255341,0.36535174,0.5974416,0.29518825,0.18090536,0.037346475,-177.3063,0.006232865,-9.467512,foreground
0.312673718,-5.9330215,0.5069953,0.4956456,0.56355125,0.5162107,0.027600616,-203.34671,0.001121417,5.5336266,foreground
0.182973593,-9.934776,1.0064874,1.278219,0.9739447,0.2848899,0.004916225,-404.7616,0.000467311,5.8897514,foreground
0.397375077,-7.6101456,1.3141631,1.4915042,1.6727214,1.5692372,0.042891286,-95.11253,0.004002273,-4.4665546,foreground
0.254072189,-8.246927,0.53013414,0.6126102,0.6369132,0.7601792,0.023773186,-178.98895,0.001047891,2.0291176,foreground
0.305320442,-7.072098,1.0450226,0.81444293,0.8110132,1.0232893,0.016254539,-277.03055,0.000859691,5.8598747,foreground
0,-10.396638,1.0475887,1.1554254,1.1695919,1.2586795,0.010435573,-300.3099,0.00063489,4.430332,foreground
0.272719741,-9.685959,1.6616567,1.7909775,1.9841454,1.7688115,0.015242847,-418.79276,0.000508274,0.8153,foreground
0.435486406,-8.102999,1.6127802,1.4462354,1.4499716,1.7727334,0.026853945,-186.66689,0.001192042,-3.1187057,foreground
0.233371481,-7.781365,1.3132033,1.0435935,0.8856924,0.48126897,0.014870043,-416.51785,0.000533626,3.6651497,foreground
0.444823831,-6.984591,1.031027,0.9612464,0.90419084,0.99522907,0.03763406,-125.66768,0.001448145,-3.7651634,foreground
0.481194258,-7.096488,0.925257,0.99127585,1.0789368,0.86516845,0.059821509,-190.13893,0.002994129,-7.6227646,foreground
0,-9.212612,0.6723402,0.9832627,1.1732967,1.0343605,0.00380111,-384.1273,0.000163864,17.345833,foreground
0.49475202,-6.056952,2.0971591,1.6920462,1.2844197,1.0852009,0.064153239,-315.09787,0.002599189,-9.197491,foreground
0.305320054,-8.624434,1.8030775,1.8977405,1.9523679,1.4889389,0.017492278,-372.66037,0.000659083,-7.4075775,foreground
0.414012015,-7.393087,0.31244493,0.2968912,0.28522727,0.30007195,0.018561,-168.63242,0.002063081,3.0844727,foreground
0.441809475,-8.837627,1.0401808,0.7325722,0.7268151,0.6995172,0.049276315,-245.94109,0.001411637,-4.1237373,foreground
0.49190703,-8.815366,1.3576066,1.7778386,2.077409,1.3864025,0.026624525,-306.00146,0.001777785,-7.792612,foreground
0.499925107,-7.1119514,2.1381981,2.1392107,2.0444574,1.7675731,0.060120292,-109.16877,0.002070545,-5.8180676,foreground
