lowlevel.silence_rate_60dB.stdev,lowlevel.spectral_contrast_valleys.mean.0,lowlevel.spectral_contrast_valleys.stdev.2,lowlevel.spectral_contrast_valleys.stdev.3,lowlevel.spectral_contrast_valleys.stdev.4,lowlevel.spectral_contrast_valleys.stdev.5,lowlevel.spectral_flux.mean,lowlevel.gfcc.mean.0,lowlevel.spectral_rms.mean,metadata.audio_properties.replay_gain,arousal.arousal,valence.valence
0,-7.9765396,0.996571,0.91048014,1.0067624,0.67329997,0.006823122,-332.5849,0.000314334,15.02206,-0.752679308,0.948887057
0.489898115,-6.393522,1.5241623,1.4725248,1.4375718,0.8179285,0.065785751,-162.62367,0.002223626,-7.0980835,0.183841715,-0.403132729
0.489428848,-8.124932,1.9998083,1.8867171,1.8869147,1.7859544,0.059643731,-189.14154,0.00186423,-6.8345776,0.800494641,-0.854905194
0.14903231,-5.529632,1.1877266,1.0996372,1.0184308,0.68860114,0.077079646,-141.36813,0.003668445,7.3078575,0.147568013,-0.538334707
0,-7.079556,1.1645684,1.1379011,1.1215367,0.81050277,0.015100101,-146.98853,0.000731965,9.399944,-0.081615829,-0.535037098
0.121928461,-6.6330113,1.1484777,1.017009,1.1322118,0.6924889,0.012855074,-291.6732,0.000613756,11.109272,-0.192085738,0.696619951
0.372114748,-7.6489754,1.4536908,1.4019798,1.2889777,0.94718784,0.029845713,-142.79337,0.00121335,3.7022285,0.413025556,0.201978566
0.414605081,-7.6106625,1.245454,1.2287186,1.1073824,0.8853612,0.062097955,-75.039055,0.002503417,-2.6864948,0.818631492,-0.323990107
0.430837274,-6.9231396,1.3557501,1.286012,1.265574,1.2042253,0.041203588,-202.98616,0.001529246,-2.8622322,0.322341303,0.106347898
0,-8.073663,1.1850692,1.1104114,1.1496356,0.8824502,0.005164022,-305.967,0.000235309,22.468628,-0.449299258,0.264633141
0,-7.169227,1.1348653,1.0272077,0.98835224,0.8369674,0.009350792,-232.97142,0.00042876,14.449993,-0.300906843,-0.089859852
0,-11.154104,0.57062966,0.46343955,0.48706868,0.25264013,0.000515688,-644.1869,2.25923E-05,53.61588,-0.988458368,0.934047815
0,-7.5069027,1.012338,0.827191,0.9263168,0.60956526,0.004860296,-313.0701,0.000226504,22.194546,-0.711459192,0.797197032
0,-9.799657,1.0106801,0.89569104,0.85223687,0.6210384,0.000720289,-526.626,3.04995E-05,35.5712,-0.981863149,-0.121187139
0.122155443,-7.3574615,1.0907947,1.0071088,1.2190468,0.774777,0.015851259,-190.62892,0.000685843,1.9047813,-0.005770816,0.80708986
0,-6.212211,1.1117975,0.94392604,0.7744867,0.5837014,0.020026911,-284.6736,0.001019097,13.181812,-0.426215993,-0.045342127
0.12215554,-5.4501395,0.99313104,0.8407239,0.7875773,0.6142282,0.08516892,-270.8215,0.006396917,-0.8871231,0.231657049,-0.230008244
0,-10.676448,1.0156525,0.9682852,0.81835407,0.37041655,0.0026035,-421.5762,0.000125989,27.329617,-0.866446826,0.243198681
0,-7.4634995,1.2464645,1.1991581,1.170858,0.8255774,0.009265398,-254.86113,0.000424747,16.785336,-0.605935697,0.502061006
0,-6.9614434,1.1747273,1.1396894,1.040177,0.7736389,0.018592721,-184.01953,0.000886454,9.076874,0.238252267,0.070074196
0.462742507,-6.9073157,1.1704284,1.0490724,0.97084576,0.6394478,0.023395419,-263.396,0.001476651,13.671528,-0.262984336,0.371805441
0.181463107,-7.4036813,1.1465056,0.9266301,0.8192106,0.50487936,0.0087529,-382.70312,0.000440037,10.984283,-0.548227535,0.089859852
0,-7.893107,1.0941925,1.0884385,1.1128334,0.6770944,0.005553784,-280.51266,0.000265204,14.944202,-0.652102226,0.541632317
0,-7.600781,1.1165669,1.0350468,1.0515809,0.862496,0.008623145,-184.0528,0.00042228,17.19347,-0.195383347,-0.342126958
0,-7.998867,0.7724769,0.7175316,0.7200485,0.6749447,0.005670184,-328.83755,0.00023761,18.800182,-0.709810387,-0.107996702
0,-6.503456,0.9719271,0.8548715,0.85782707,0.63097984,0.012389368,-295.1888,0.000631577,13.244049,-0.502061006,0.342126958
0,-7.988935,0.8634258,0.8368608,0.8802062,0.5294592,0.009583061,-280.03867,0.000370532,3.2622185,-0.413025556,0.802143446
0.439377069,-6.6571937,1.2290704,1.1998168,1.1849303,0.9851305,0.039486602,-46.726,0.001629455,2.018814,0.389942292,-0.502061006
0.286504537,-7.4827914,1.2906269,1.261103,1.2722491,1.002644,0.017657068,-223.58359,0.00084667,1.0597878,0.132728772,0.226710635
0.12215554,-5.9663563,1.1391047,1.0793393,1.3957615,1.1341535,0.165832072,13.170171,0.007911728,-14.130327,0.922506183,-0.910964551
0,-8.216317,1.176074,1.0840102,0.92047966,0.50075865,0.00331138,-382.309,0.00019758,24.443977,-0.91426216,0.347073372
0.475269407,-6.30301,1.2651914,1.228974,1.0739208,0.715847,0.03512527,-136.87984,0.001665258,3.4780273,0.348722176,-0.572959604
0.286504537,-8.557047,1.2122838,1.1927187,1.2646469,1.0185652,0.014238825,-283.1293,0.000667953,0.105169296,0.094806265,-0.640560594
0.215601116,-9.464441,1.209573,1.1517433,1.3131815,1.0572298,0.007674783,-385.83704,0.00037201,6.598057,-0.089859852,0.00247
0.445361346,-6.2305565,1.2295519,1.1535085,1.1158373,0.96270293,0.032735568,-175.83261,0.001636735,4.6217155,0.559769167,0.111294312
0.495453924,-6.1899047,1.8687674,1.5346757,1.3099357,1.5065705,0.074146278,-195.75485,0.002758837,-8.173063,0.665292663,-0.690024732
0.499296844,-7.65779,1.678607,1.6020471,1.579236,1.1483788,0.057223905,-165.12387,0.002194911,-5.081049,0.884583677,0.208573784
0,-8.534128,0.8112337,0.83933973,0.82271016,0.5105255,0.002879993,-344.2641,0.000138533,20.400463,-0.137675185,0.408079143
0,-7.7533803,1.2745302,1.0403903,1.0450749,0.7006639,0.005442217,-326.1338,0.000275525,20.202461,-0.59274526,0.258037923
0.086708508,-7.9346833,1.0343205,0.93440163,0.84278715,1.0989614,0.010846357,-324.8899,0.000677728,6.581959,0.304204452,0.295960429
0.215601116,-8.1728525,1.2018864,1.1291635,1.2218524,0.9241282,0.013156961,-283.84216,0.000552819,2.2249603,-0.116240725,0.472382523
0.495399207,-6.779658,1.4974598,1.4164019,1.626491,0.9512713,0.050559528,-120.43707,0.002142757,-4.2168694,0.782357791,-0.65704864
0.486015737,-6.6435647,1.3130147,1.2723839,1.4135582,0.9689419,0.052625004,-94.78428,0.002070833,-4.0618305,0.18219291,-0.919208574
0.493006647,-6.67282,1.2649474,1.2210101,1.4266378,0.81610423,0.049935646,-116.18233,0.002076316,-3.721323,0.572959604,-0.841714757
0.269656181,-7.1026635,1.2985783,1.0842298,1.0400516,0.7105714,0.011461718,-290.27304,0.000770663,15.836605,-0.612530915,0.447650453
0.392536283,-6.7195077,1.2375573,1.226352,1.1328106,0.704901,0.037220627,-205.29147,0.001260942,-1.539114,0.035449299,-0.434460016
0.499483228,-6.0325503,1.3006516,1.2321472,1.1114007,0.71471566,0.037846193,-124.77098,0.001806335,3.1201935,0.513602638,-0.343775763
0.42279467,-6.566107,1.5093352,1.4189796,1.2833362,0.72944033,0.033016156,-158.70325,0.001565474,4.0659714,0.449299258,-0.389942292
0,-7.044759,1.3859637,1.435524,1.4925096,1.092734,0.018822378,-210.96666,0.000654095,4.5549393,0.228359439,-0.46084089
0,-9.247099,0.79604536,0.81477743,1.0162511,1.1220559,0.006145063,-390.657,0.000199374,20.425686,-0.391591096,0.249793899
0,-11.915191,0.70486844,0.74247694,1.0490967,1.1387076,0.005235964,-472.5823,0.000150177,20.007294,0.299258038,-0.216817807
0.440879852,-7.2274256,1.5222573,1.4981263,1.3731021,1.0384859,0.058793928,-78.171394,0.002373712,-2.2902832,0.714756801,0.11788953
0.419069797,-6.35639,1.4488724,1.2614985,1.4271858,1.515164,0.032705013,-138.92798,0.001281264,0.25510597,0.403132729,-0.391591096
0.086708248,-6.939926,1.163877,1.051474,1.0510199,0.8069665,0.012202967,-263.83405,0.000546783,12.881023,-0.061830173,0.055234955
0.365917921,-6.7215705,1.433174,1.3535291,1.3205928,0.9361923,0.033511013,-197.7141,0.001164675,-1.1136112,0.291014015,0.035449299
0,-7.1002746,1.0408645,0.9843476,1.0229846,0.84207946,0.010378366,-189.76936,0.000493305,17.690395,-0.259686727,0.172300082
0,-6.7132273,1.1419579,1.0620912,1.0578622,0.7472827,0.013261632,-232.62926,0.000720778,15.840733,-0.201978566,-0.132728772
0.499871224,-6.889598,1.0681853,1.0057075,0.96399,0.70664024,0.039768163,-215.76102,0.00210423,17.038528,-0.389942292,0.747732894
0.181462973,-10.849153,0.94988424,1.2107942,1.0728132,0.8616188,0.017346816,-461.8077,0.001145933,22.882812,-0.739488871,0.741137675
0.440347135,-7.5032024,1.6941525,1.6362798,1.4985068,1.1532497,0.059002895,-87.889946,0.002370064,-2.2855034,0.76422094,-0.190436933
0,-8.018936,0.9794442,1.0228646,1.0532283,0.6987961,0.005002345,-283.62775,0.000209999,15.355503,-0.42126958,0.917559769
0.121702105,-9.652209,1.0966574,0.9652674,1.1551175,0.5743428,0.004891503,-406.32367,0.000227718,13.348377,-0.352019786,0.998351195
0,-9.266563,0.98446614,0.8718814,0.8346901,0.6209014,0.010774997,-458.97748,0.000493972,32.639538,-0.927452597,0.587798846
