lowlevel.silence_rate_20dB.mean,lowlevel.silence_rate_20dB.stdev,lowlevel.silence_rate_30dB.mean,lowlevel.silence_rate_30dB.stdev,lowlevel.silence_rate_60dB.mean,lowlevel.silence_rate_60dB.stdev,lowlevel.spectral_flux.mean,lowlevel.spectral_flux.stdev,lowlevel.spectral_rms.mean,lowlevel.spectral_rms.stdev,metadata.audio_properties.replay_gain.mean,metadata.audio_properties.replay_gain.stdev,lowlevel.gfcc.mean.0,lowlevel.gfcc.mean.1,lowlevel.gfcc.mean.2,lowlevel.gfcc.mean.3,lowlevel.gfcc.mean.4,lowlevel.gfcc.mean.5,lowlevel.gfcc.mean.6,lowlevel.gfcc.mean.7,lowlevel.gfcc.mean.8,lowlevel.gfcc.mean.9,lowlevel.gfcc.mean.10,lowlevel.gfcc.mean.11,lowlevel.gfcc.mean.12,lowlevel.gfcc.stdev.0,lowlevel.gfcc.stdev.1,lowlevel.gfcc.stdev.2,lowlevel.gfcc.stdev.3,lowlevel.gfcc.stdev.4,lowlevel.gfcc.stdev.5,lowlevel.gfcc.stdev.6,lowlevel.gfcc.stdev.7,lowlevel.gfcc.stdev.8,lowlevel.gfcc.stdev.9,lowlevel.gfcc.stdev.10,lowlevel.gfcc.stdev.11,lowlevel.gfcc.stdev.12,lowlevel.melbands.mean.0,lowlevel.melbands.mean.1,lowlevel.melbands.mean.2,lowlevel.melbands.mean.3,lowlevel.melbands.mean.4,lowlevel.melbands.mean.5,lowlevel.melbands.mean.6,lowlevel.melbands.mean.7,lowlevel.melbands.mean.8,lowlevel.melbands.mean.9,lowlevel.melbands.mean.10,lowlevel.melbands.mean.11,lowlevel.melbands.mean.12,lowlevel.melbands.mean.13,lowlevel.melbands.mean.14,lowlevel.melbands.mean.15,lowlevel.melbands.mean.16,lowlevel.melbands.mean.17,lowlevel.melbands.mean.18,lowlevel.melbands.mean.19,lowlevel.melbands.mean.20,lowlevel.melbands.mean.21,lowlevel.melbands.mean.22,lowlevel.melbands.mean.23,lowlevel.melbands.mean.24,lowlevel.melbands.mean.25,lowlevel.melbands.mean.26,lowlevel.melbands.mean.27,lowlevel.melbands.mean.28,lowlevel.melbands.mean.29,lowlevel.melbands.mean.30,lowlevel.melbands.mean.31,lowlevel.melbands.mean.32,lowlevel.melbands.mean.33,lowlevel.melbands.mean.34,lowlevel.melbands.mean.35,lowlevel.melbands.mean.36,lowlevel.melbands.mean.37,lowlevel.melbands.mean.38,lowlevel.melbands.mean.39,lowlevel.melbands.stdev.0,lowlevel.melbands.stdev.1,lowlevel.melbands.stdev.2,lowlevel.melbands.stdev.3,lowlevel.melbands.stdev.4,lowlevel.melbands.stdev.5,lowlevel.melbands.stdev.6,lowlevel.melbands.stdev.7,lowlevel.melbands.stdev.8,lowlevel.melbands.stdev.9,lowlevel.melbands.stdev.10,lowlevel.melbands.stdev.11,lowlevel.melbands.stdev.12,lowlevel.melbands.stdev.13,lowlevel.melbands.stdev.14,lowlevel.melbands.stdev.15,lowlevel.melbands.stdev.16,lowlevel.melbands.stdev.17,lowlevel.melbands.stdev.18,lowlevel.melbands.stdev.19,lowlevel.melbands.stdev.20,lowlevel.melbands.stdev.21,lowlevel.melbands.stdev.22,lowlevel.melbands.stdev.23,lowlevel.melbands.stdev.24,lowlevel.melbands.stdev.25,lowlevel.melbands.stdev.26,lowlevel.melbands.stdev.27,lowlevel.melbands.stdev.28,lowlevel.melbands.stdev.29,lowlevel.melbands.stdev.30,lowlevel.melbands.stdev.31,lowlevel.melbands.stdev.32,lowlevel.melbands.stdev.33,lowlevel.melbands.stdev.34,lowlevel.melbands.stdev.35,lowlevel.melbands.stdev.36,lowlevel.melbands.stdev.37,lowlevel.melbands.stdev.38,lowlevel.melbands.stdev.39,lowlevel.mfcc.mean.0,lowlevel.mfcc.mean.1,lowlevel.mfcc.mean.2,lowlevel.mfcc.mean.3,lowlevel.mfcc.mean.4,lowlevel.mfcc.mean.5,lowlevel.mfcc.mean.6,lowlevel.mfcc.mean.7,lowlevel.mfcc.mean.8,lowlevel.mfcc.mean.9,lowlevel.mfcc.mean.10,lowlevel.mfcc.mean.11,lowlevel.mfcc.mean.12,lowlevel.mfcc.stdev.0,lowlevel.mfcc.stdev.1,lowlevel.mfcc.stdev.2,lowlevel.mfcc.stdev.3,lowlevel.mfcc.stdev.4,lowlevel.mfcc.stdev.5,lowlevel.mfcc.stdev.6,lowlevel.mfcc.stdev.7,lowlevel.mfcc.stdev.8,lowlevel.mfcc.stdev.9,lowlevel.mfcc.stdev.10,lowlevel.mfcc.stdev.11,lowlevel.mfcc.stdev.12,lowlevel.spectral_contrast_valleys.mean.0,lowlevel.spectral_contrast_valleys.mean.1,lowlevel.spectral_contrast_valleys.mean.2,lowlevel.spectral_contrast_valleys.mean.3,lowlevel.spectral_contrast_valleys.mean.4,lowlevel.spectral_contrast_valleys.mean.5,lowlevel.spectral_contrast_valleys.stdev.0,lowlevel.spectral_contrast_valleys.stdev.1,lowlevel.spectral_contrast_valleys.stdev.2,lowlevel.spectral_contrast_valleys.stdev.3,lowlevel.spectral_contrast_valleys.stdev.4,lowlevel.spectral_contrast_valleys.stdev.5,arousal.arousal,valence.valence
0.996296287,0.060745254,0.818518519,0.385416925,0.022222223,0.147406131,0.035111897,0.04314971,0.001187583,0.001329309,-1.17294693,0,-206.05757,111.330055,-138.25012,10.399469,-60.85505,-23.054056,-32.546803,4.755604,-31.92164,4.7253103,-11.14343,-5.9919825,-8.514867,126.38562,49.338726,22.869064,14.917484,15.122829,16.960331,10.775553,11.687437,11.414802,9.081448,7.904424,9.773017,8.319203,1.00423E-05,3.77731E-05,9.31063E-05,0.000244263,0.000156544,0.000129005,9.14993E-05,4.7735E-05,3.38769E-05,2.31245E-05,1.30029E-05,6.84249E-06,5.30349E-06,4.43671E-06,4.52942E-06,3.15283E-06,1.73103E-06,1.56728E-06,1.52289E-06,1.17998E-06,7.80115E-07,6.77595E-07,5.9972E-07,1.1767E-06,2.5562E-06,4.5865E-06,2.64153E-06,1.74909E-06,9.96163E-07,1.24223E-07,5.96919E-08,7.0677E-09,5.58736E-09,5.62877E-09,8.55707E-09,4.16013E-09,1.54406E-09,1.706E-09,1.59998E-09,1.78868E-09,4.10521E-05,0.000125001,0.000285538,0.000936556,0.000585254,0.000465845,0.00028509,0.000137355,9.54899E-05,6.43542E-05,3.85912E-05,1.52426E-05,1.16456E-05,1.0603E-05,1.94958E-05,1.11311E-05,3.36895E-06,4.17449E-06,5.73451E-06,2.64679E-06,1.39237E-06,1.58255E-06,1.30302E-06,3.13962E-06,9.63659E-06,1.97197E-05,1.08259E-05,8.35168E-06,4.78107E-06,2.78366E-07,1.11247E-07,5.1032E-09,4.4351E-09,7.47292E-09,1.90482E-08,8.59782E-09,1.09345E-09,1.62262E-09,1.22945E-09,1.48897E-09,-838.70306,154.10085,-29.387312,28.133667,-16.31295,-18.684975,1.3985693,-12.998947,-8.369295,1.5977238,-4.746573,-3.2111104,-0.34041047,84.64586,39.190876,17.543438,14.491317,9.831348,10.648038,12.018367,12.983167,9.757913,9.1234455,9.90716,8.376538,8.606375,-6.911086,-6.6156697,-7.569982,-8.171191,-8.874946,-10.983742,1.5692099,1.6413008,1.4304833,1.351013,1.3320764,0.83006173,0.152514427,-0.612530915
1,0,0.924812019,0.263694614,0.022556391,0.148484334,0.012748468,0.009800213,0.000762033,0.000573459,15.95722198,0,-279.3193,60.13041,-31.930473,37.02632,-58.43538,40.553318,-38.59228,28.417189,-10.750012,5.452514,-12.240457,11.3111725,-19.760393,117.85854,49.522366,12.761506,17.82253,14.14453,9.720302,10.053819,9.40189,9.416332,8.499895,7.939373,8.860225,7.863281,0.000220306,0.000104589,6.41192E-06,4.3781E-06,1.30628E-06,8.3806E-07,7.57264E-07,8.92884E-07,1.07513E-06,5.98277E-07,1.27901E-07,8.65606E-08,8.5123E-08,7.88875E-08,4.4195E-08,2.98691E-08,1.95339E-08,1.60554E-08,1.21404E-08,1.36743E-08,2.64636E-08,2.31903E-08,3.66595E-08,1.55132E-08,2.86279E-08,2.93682E-08,3.11564E-08,7.79792E-09,1.23729E-09,1.92457E-09,2.30231E-08,1.03126E-07,8.78577E-08,2.84705E-07,3.29678E-07,1.61535E-07,1.27075E-07,4.23439E-08,2.2827E-07,1.25389E-07,0.000381104,0.000225215,9.42042E-06,4.72128E-06,1.20231E-06,1.20951E-06,9.31364E-07,1.06067E-06,1.9334E-06,1.11827E-06,1.75751E-07,1.12097E-07,1.43125E-07,1.13129E-07,5.249E-08,2.6533E-08,2.00369E-08,1.69006E-08,1.3118E-08,1.69368E-08,6.0526E-08,5.22194E-08,1.11835E-07,3.5029E-08,8.00253E-08,8.79131E-08,1.18063E-07,2.99449E-08,2.2296E-09,8.04066E-09,7.6056E-08,3.82862E-07,2.80979E-07,9.28397E-07,9.98381E-07,4.83854E-07,3.75384E-07,1.44918E-07,8.013E-07,4.46976E-07,-941.94055,104.87104,73.83395,13.351957,23.86509,9.851592,-1.2768775,26.83665,-1.4595379,10.279065,16.778801,-1.3486123,12.405899,66.46361,41.738274,16.659218,9.99353,11.242464,9.418853,9.694023,12.033127,7.7304916,7.3635197,8.931973,9.0398,7.820388,-7.3625517,-8.320841,-9.41198,-10.0647135,-10.884683,-10.570238,1.4407475,1.3216091,1.13632,0.9980527,1.0228934,1.1134685,-0.384995878,-0.384995878
1,0,1,0,0.022556391,0.148484334,0.011413199,0.005079295,0.000592003,0.000241151,13.87807083,0,-314.6974,164.48232,-84.77194,-0.73610663,-44.82299,-5.3679214,-20.561432,4.47247,-13.776904,-7.298309,-2.9536,-5.927534,3.22927,112.66125,47.27044,14.495711,17.37665,10.397406,9.063032,9.120647,7.4809527,7.4193344,6.684321,6.1463594,7.9707174,7.6247425,3.65951E-05,2.03053E-05,1.78454E-05,1.67988E-05,1.52737E-05,8.18931E-06,5.29798E-06,3.94124E-06,2.37675E-06,2.03369E-06,1.80547E-06,3.14676E-06,3.5099E-07,1.60739E-07,1.17637E-07,1.00173E-07,9.63974E-08,6.79622E-08,5.21154E-08,2.87925E-08,1.93238E-08,1.5497E-08,1.37629E-08,8.89834E-09,1.01661E-08,1.12732E-08,6.752E-09,5.27658E-09,4.14822E-09,1.97042E-09,9.51973E-10,5.83022E-10,7.60174E-10,5.77662E-10,5.33449E-10,5.80638E-10,3.53651E-10,1.93199E-10,1.64443E-10,1.53274E-10,4.48907E-05,2.30744E-05,2.39123E-05,2.18134E-05,1.98265E-05,8.71769E-06,4.40407E-06,4.04285E-06,3.13159E-06,2.35945E-06,1.50713E-06,3.55689E-06,2.85517E-07,1.79771E-07,1.53355E-07,9.11119E-08,9.5897E-08,7.90791E-08,5.90642E-08,3.32934E-08,2.19481E-08,1.74439E-08,1.72332E-08,1.04065E-08,1.64935E-08,1.52481E-08,1.2258E-08,1.215E-08,8.81338E-09,3.2796E-09,1.66621E-09,1.01932E-09,2.2648E-09,1.26105E-09,1.03811E-09,7.60021E-10,6.26996E-10,2.52586E-10,1.8987E-10,1.48052E-10,-960.5981,204.29999,16.745094,15.641376,1.3458713,-7.732139,4.478705,2.3242362,0.21375397,8.019836,-5.8436637,-4.1269865,-2.8431294,62.601044,33.57462,10.012253,13.188045,7.725613,7.557703,6.2814,5.9402003,6.6138797,6.5323744,6.68021,7.042617,5.3267217,-6.6527576,-7.4401245,-8.647332,-9.577733,-10.732146,-12.307279,1.602846,1.4491444,1.2571282,1.1148709,1.1019979,0.7573697,-0.337180544,0.292662819
1,0,1,0,0.022556391,0.148484334,0.013320698,0.007133071,0.000680551,0.000271744,21.1189003,0,-257.5408,61.3315,-52.03012,25.62999,-37.01712,12.246931,-38.20361,-0.19283092,-15.691091,11.147689,-2.1311727,16.272955,-6.579437,110.69361,31.78389,9.179739,9.1659775,6.247291,4.9895945,5.7642007,4.7051587,7.0142164,5.4906435,4.6825724,4.471697,4.5380917,7.12777E-05,1.11385E-05,3.63897E-06,6.76539E-06,3.72161E-06,2.38583E-06,4.1816E-06,7.40156E-07,1.54832E-07,7.92336E-08,8.62085E-08,1.21952E-07,1.06142E-07,2.27322E-07,2.09805E-07,6.37289E-08,3.44142E-08,4.50929E-08,9.4303E-08,9.25242E-08,2.93826E-08,2.80177E-08,2.30005E-08,2.84083E-08,1.88204E-08,1.26228E-08,1.14194E-08,9.19087E-09,8.63468E-09,1.02609E-08,1.01938E-08,7.6659E-09,8.71539E-09,1.23809E-08,7.15271E-09,6.00402E-09,7.86937E-09,6.84354E-09,5.62511E-09,5.2711E-09,5.79163E-05,7.18771E-06,1.89923E-06,2.71078E-06,1.27562E-06,1.98101E-06,1.99108E-06,3.86145E-07,9.0908E-08,5.92883E-08,6.80568E-08,8.56805E-08,5.709E-08,1.35987E-07,1.33863E-07,4.08607E-08,1.98846E-08,2.3459E-08,4.28914E-08,5.39829E-08,1.95535E-08,1.35894E-08,1.3433E-08,1.7229E-08,1.01821E-08,7.08401E-09,4.86157E-09,3.70634E-09,3.5536E-09,4.12936E-09,4.10353E-09,2.95988E-09,2.89425E-09,5.89891E-09,2.9968E-09,2.1292E-09,2.59046E-09,2.46488E-09,1.84457E-09,1.6889E-09,-917.3354,114.12127,38.346348,26.05439,22.912758,14.661394,0.15342359,-0.3600249,-5.298711,-5.3816695,0.26172906,7.46259,13.679579,57.264725,18.583391,7.907169,6.2094417,5.8597636,5.555122,5.1172986,4.878705,4.2012253,4.5997925,4.836215,4.7368035,4.909028,-7.0293427,-8.598253,-8.977655,-9.395544,-10.066658,-10.368796,1.4116751,1.2039572,1.1586975,1.081162,1.066169,0.7677615,-0.624072547,-0.005770816
1,0,0.693181813,0.461173415,0.015151516,0.12215554,0.034095444,0.016134184,0.001544221,0.000694376,3.208900452,0,-118.00062,78.58921,-154.81464,19.883184,-53.429592,44.82109,-32.26961,25.541025,-8.449617,7.5331554,-8.946141,3.5054803,-0.38857564,118.92247,30.389431,23.85086,11.599485,16.056826,9.98138,8.661294,8.647701,7.723414,7.028732,6.9183764,5.7241607,6.664073,0.000250135,0.000118123,7.96233E-06,6.17258E-06,4.71757E-06,8.12116E-06,1.34087E-05,1.61863E-05,1.92895E-05,2.69327E-05,3.35373E-05,3.91793E-05,2.86968E-05,1.91124E-05,1.80029E-05,1.66107E-05,1.73753E-05,1.44674E-05,1.30777E-05,1.22637E-05,8.43957E-06,6.76369E-06,3.97523E-06,1.77394E-06,1.1416E-06,8.03079E-07,6.15285E-07,4.73483E-07,3.85525E-07,2.95674E-07,2.30169E-07,2.11293E-07,2.26271E-07,2.37537E-07,1.81949E-07,1.35992E-07,1.28824E-07,1.07749E-07,8.36506E-08,5.99814E-08,0.000422302,0.000247139,1.10451E-05,5.9494E-06,4.93393E-06,1.07488E-05,2.06797E-05,2.0948E-05,2.02864E-05,3.80602E-05,4.88906E-05,5.57232E-05,3.74459E-05,1.91751E-05,2.26967E-05,2.54561E-05,3.02475E-05,1.96903E-05,1.68456E-05,1.68576E-05,1.04437E-05,1.13197E-05,7.72094E-06,3.9591E-06,1.51044E-06,1.05105E-06,7.94258E-07,6.39047E-07,5.26838E-07,4.05591E-07,2.85211E-07,2.4455E-07,2.9251E-07,4.41694E-07,2.89207E-07,1.53365E-07,1.53819E-07,1.26683E-07,9.01756E-08,6.06457E-08,-738.2192,106.71666,-30.653904,-12.055128,7.864969,11.39723,3.1623979,15.091534,12.804455,10.531046,4.3750243,6.7426987,6.8699594,78.66519,20.701406,15.674413,10.2502985,13.421589,10.667087,8.000334,7.740552,7.758832,6.6747913,6.7304993,6.1758394,6.069046,-6.880078,-6.598241,-6.429402,-6.7679687,-8.242203,-9.1082945,1.2608981,1.3473592,1.370926,1.3481398,1.2188107,0.93767244,0.419620775,0.05358615
1,0,0.030303031,0.171420157,0.015151516,0.12215554,0.054395258,0.014495472,0.002946372,0.000777683,-0.180194855,0,-120.86046,168.69675,-123.28792,9.349482,-56.513363,-15.42301,-23.603163,3.6280715,-27.357609,-11.293378,-3.6555612,-12.139345,-18.433718,113.16482,39.028305,19.205442,13.510792,10.894833,9.972289,9.946898,8.592508,10.346378,9.3663645,8.015431,8.191601,8.218596,9.09615E-05,0.000594572,0.000402121,0.000320251,0.000289058,0.000196891,0.00015269,0.000196286,0.00017333,0.000100024,0.000174372,2.62595E-05,1.72869E-05,3.33559E-05,2.09571E-05,1.17022E-05,5.58549E-06,2.30147E-06,1.40672E-06,7.86758E-07,6.12762E-07,8.91227E-07,1.74549E-06,2.03002E-06,3.35237E-06,2.12727E-06,5.04021E-07,1.79979E-07,9.96609E-08,4.87327E-08,4.68293E-08,2.99408E-08,2.34778E-08,1.07435E-08,6.91994E-09,8.04352E-09,7.05142E-09,3.94081E-09,2.8994E-09,2.11266E-09,0.000110682,0.000733101,0.000338493,0.000272329,0.000247593,0.000198894,0.000179621,0.000208495,0.000193842,0.000166046,0.000373152,3.31631E-05,3.36741E-05,7.67069E-05,3.52876E-05,1.6114E-05,9.24901E-06,2.44265E-06,1.92122E-06,8.57684E-07,6.8525E-07,8.70242E-07,1.61927E-06,2.51282E-06,3.81799E-06,2.88628E-06,5.42579E-07,1.73217E-07,2.4848E-07,5.91822E-08,4.24021E-08,2.89949E-08,2.36414E-08,1.15068E-08,6.38333E-09,8.48894E-09,9.51524E-09,7.70385E-09,4.11551E-09,2.45885E-09,-759.2321,202.05095,-12.693605,27.502779,-13.380957,-14.052491,4.8612123,4.2567487,-15.97064,-0.21653718,7.9352574,-3.7610598,-9.099944,69.01957,29.442114,12.971072,11.993858,10.74162,8.535037,9.291639,10.250291,10.076166,9.437399,8.561213,6.954449,7.796573,-5.477281,-5.624628,-6.742442,-7.927182,-8.840853,-10.745056,1.4215212,1.3691082,1.2086862,1.1105253,1.034897,0.7294551,0.37840066,0.109645507
0.862962961,0.343886852,0.551851869,0.497303694,0.022222223,0.147406131,0.070182033,0.085982926,0.002481962,0.002737217,-7.377855301,0,-159.96443,140.63849,-142.24077,16.494303,-67.0543,-20.096592,-28.70734,-5.9939356,-14.454049,-1.0352259,-4.6803455,-7.609047,-0.19105731,142.9796,59.310925,28.555552,16.617607,20.14167,20.098785,13.672117,11.746923,10.165694,9.496431,9.079317,10.977946,7.8697767,4.71019E-05,0.000151677,0.000368899,0.000966158,0.000623901,0.000721939,0.000614356,0.000193065,0.000133138,9.04939E-05,5.32752E-05,2.67913E-05,2.01563E-05,1.69504E-05,1.74526E-05,1.19875E-05,6.36434E-06,5.94861E-06,5.90736E-06,4.89895E-06,3.69269E-06,2.69876E-06,2.06591E-06,1.87394E-06,1.82025E-06,1.50595E-06,2.09549E-06,1.37712E-06,6.41242E-07,4.83058E-07,3.52135E-07,2.99239E-07,8.11439E-07,2.25147E-07,1.16594E-07,1.17096E-07,1.06632E-07,5.46433E-08,4.99947E-08,1.42643E-08,0.000163161,0.000497945,0.001138375,0.003706182,0.002336828,0.002089855,0.001577465,0.000539237,0.000378212,0.000256311,0.000153349,6.00656E-05,4.57935E-05,4.19231E-05,7.74495E-05,4.44545E-05,1.35701E-05,1.66142E-05,2.27958E-05,1.12558E-05,6.6532E-06,6.26121E-06,4.66278E-06,4.63247E-06,4.56597E-06,3.51551E-06,7.92892E-06,4.80355E-06,1.92273E-06,1.0523E-06,6.61761E-07,1.09831E-06,4.44928E-06,7.97155E-07,4.59481E-07,6.8669E-07,7.4406E-07,2.31151E-07,2.38107E-07,5.55951E-08,-786.72705,171.37189,-25.377493,29.283712,-20.389292,-9.319442,-9.588555,-10.620572,-6.1157794,1.1209227,-6.704778,3.7772548,-2.7946243,106.8854,50.833923,28.348984,18.056112,10.114778,10.5448,14.32775,11.472863,8.84785,8.087646,9.637608,10.228891,12.98725,-6.169575,-5.9548874,-7.0196724,-7.6886964,-8.509142,-11.047503,1.6835251,1.7552547,1.6252079,1.528727,1.4952357,1.1975305,0.751030503,-0.877988458
0.99253732,0.086063884,0.828358233,0.377068847,0.014925373,0.121253967,0.034643754,0.045408096,0.001189868,0.00139398,-1.542470932,0,-214.01167,129.20552,-134.17227,5.729854,-60.9899,-14.542676,-35.70119,3.5567913,-27.626268,7.770704,-15.040132,-4.156405,-3.2867794,111.84015,43.24793,23.07749,12.667533,13.164336,17.91678,11.252238,10.871337,8.995171,8.53674,7.1600523,9.147874,6.921969,1.35768E-05,4.20972E-05,0.000103032,0.000272166,0.000174024,0.000143735,0.000101238,5.33276E-05,3.75748E-05,2.5728E-05,1.44106E-05,7.5061E-06,5.81937E-06,4.94537E-06,5.08211E-06,3.49573E-06,1.87611E-06,1.71698E-06,1.69354E-06,1.29449E-06,8.3258E-07,6.37784E-07,5.09012E-07,4.7053E-07,4.64932E-07,3.07258E-07,2.473E-07,2.06669E-07,1.74431E-07,1.25937E-07,6.42334E-08,6.00171E-09,4.27473E-09,3.31736E-09,2.40515E-09,1.35172E-09,1.21493E-09,1.49882E-09,1.48236E-09,1.77352E-09,4.51602E-05,0.00013529,0.000315175,0.001043193,0.000647438,0.000509932,0.000312989,0.000156258,0.000105079,7.11287E-05,4.27438E-05,1.67344E-05,1.30827E-05,1.20085E-05,2.30925E-05,1.29669E-05,3.70675E-06,4.83298E-06,6.80913E-06,3.03131E-06,1.53699E-06,1.60053E-06,1.31347E-06,1.28225E-06,1.29857E-06,8.01599E-07,6.35714E-07,5.8222E-07,5.54487E-07,3.01921E-07,1.23911E-07,5.11051E-09,3.88408E-09,3.96819E-09,3.00903E-09,1.17975E-09,1.14604E-09,1.85481E-09,1.55578E-09,1.71088E-09,-848.8555,169.36684,-24.277252,20.588465,-13.230136,-12.461082,-2.5246558,-14.965026,0.108241454,-3.873093,-2.447905,-0.038716372,-2.8423867,81.12506,36.13082,20.12181,14.715449,8.218494,8.636481,8.935251,11.036131,6.918781,6.4541583,8.270822,6.901847,7.1360397,-6.7548313,-6.5270677,-7.5095263,-8.138475,-9.053792,-11.10383,1.3588109,1.4398099,1.2512696,1.2263068,1.2041469,0.78522277,0.360263809,-0.413025556
1,0,0.772727251,0.419070065,0.189393938,0.391820699,0.01623678,0.012923128,0.001157556,0.000912073,3.227344513,0,-523.14435,145.42216,33.61545,-12.972224,-37.892494,-8.109399,-12.400659,-4.39653,-3.8932273,-3.198302,4.389451,8.02239,6.165609,195.80037,127.68798,27.733704,25.89749,16.808674,14.792096,8.768338,12.789933,13.060475,7.6373367,8.795711,6.022428,8.4108925,0.000280722,3.32341E-05,3.32384E-05,4.25321E-05,3.92638E-05,0.000182819,4.29975E-05,1.20096E-06,2.3287E-07,1.20202E-06,8.19082E-07,8.91504E-09,1.73973E-07,6.90637E-07,5.21452E-09,3.88644E-09,3.10693E-09,2.63395E-10,7.91795E-10,7.66317E-11,1.16755E-10,4.11497E-11,3.92193E-11,3.27135E-11,2.24702E-11,1.8243E-11,1.66536E-11,1.60768E-11,1.31174E-11,1.08558E-11,9.15932E-12,8.58159E-12,8.66655E-12,8.32703E-12,8.28634E-12,8.56333E-12,9.56856E-12,8.68152E-12,8.14049E-12,7.77219E-12,0.000313516,3.37302E-05,4.87345E-05,6.40394E-05,6.52105E-05,0.000437765,0.000103555,2.48178E-06,3.34748E-07,2.0788E-06,1.57253E-06,1.42327E-08,4.51767E-07,1.86887E-06,1.35224E-08,8.68882E-09,7.78877E-09,5.29668E-10,2.00921E-09,1.10782E-10,1.92752E-10,5.40601E-11,5.39409E-11,4.28151E-11,2.56678E-11,2.03405E-11,1.84441E-11,1.80516E-11,1.33908E-11,1.13593E-11,8.76114E-12,7.81337E-12,7.67505E-12,7.44089E-12,6.8322E-12,6.93459E-12,7.65192E-12,5.98007E-12,5.40882E-12,5.09696E-12,-1118.3276,172.82976,97.62835,34.046223,6.3403234,2.5296204,3.64011,2.777278,0.91894835,-0.48713395,-0.46115386,1.4252231,4.102338,87.278244,96.301414,47.038185,25.75419,17.087349,11.678456,7.913274,9.496701,11.895089,10.479562,7.745825,6.77069,7.0841055,-7.9696007,-10.057024,-11.9487915,-13.098402,-13.798638,-13.797697,3.5036762,2.7132986,2.0034673,1.4027742,1.2891942,0.60408527,-0.544929926,-0.558120363
1,0,1,0,0.022556391,0.148484334,0.001003073,0.000817705,0.000333485,6.92202E-05,20.08575821,0,-465.50778,105.523254,24.443127,24.206245,-56.07033,-31.271103,-46.877438,-7.3474164,-11.398888,3.585959,-10.24037,-1.4713997,-9.556886,83.388,39.79923,8.35148,8.336868,7.447643,8.909852,5.0888753,3.2213657,5.0618362,3.3584328,3.6207867,3.6063638,2.8402758,4.14394E-07,1.22246E-05,3.6544E-06,4.54756E-08,1.36043E-05,9.693E-06,2.72127E-08,1.40461E-09,1.39466E-07,3.41523E-08,3.21854E-10,2.77303E-10,2.18571E-10,2.06966E-10,1.88957E-10,1.72917E-10,1.443E-10,1.31895E-10,1.25103E-10,1.2061E-10,1.12998E-10,1.06652E-10,1.0377E-10,9.59488E-11,9.66683E-11,8.4656E-11,7.9688E-11,7.53045E-11,7.46068E-11,7.01697E-11,6.80524E-11,6.91164E-11,6.90889E-11,6.84336E-11,6.85083E-11,6.70309E-11,6.73945E-11,6.43733E-11,6.49317E-11,6.50282E-11,1.14053E-07,3.27757E-06,1.18603E-06,2.17546E-08,4.40338E-06,3.13785E-06,1.19508E-08,7.02863E-10,7.75405E-08,1.8877E-08,2.14278E-10,2.94411E-10,1.4226E-10,1.66046E-10,1.54277E-10,1.22003E-10,9.70128E-11,9.66074E-11,8.2767E-11,1.04017E-10,6.25668E-11,7.63448E-11,8.52969E-11,8.11446E-11,6.5471E-11,4.26513E-11,3.88653E-11,3.50005E-11,3.20392E-11,2.85002E-11,2.87259E-11,3.20957E-11,2.90171E-11,3.01595E-11,2.94592E-11,2.64187E-11,2.5397E-11,2.19366E-11,2.15754E-11,1.99988E-11,-1147.9779,144.78809,101.64715,57.615284,21.185009,-3.1281648,-13.560854,-13.0819645,-8.035275,-2.931271,-1.5127726,-3.7533042,-6.4883194,19.771025,23.640308,17.26926,9.52613,4.336739,3.6422596,3.9965599,3.6066842,2.7553496,2.5582006,2.5139039,2.4722576,2.471803,-10.034734,-10.990678,-12.001149,-12.280652,-12.557498,-12.63929,1.0003384,0.88840777,0.7720162,0.6957148,0.747484,0.44596225,-0.853256389,-0.027205276
