"xResponse","yResponse","PerceptualSharpness_1_mean","PerceptualSharpness_1_std","Loudness_1_mean","MFCC_2_std","ZCR_1_std","MFCC_1_std","Loudness_1_std","MFCC_2_mean","Energy_1_std","MFCC_3_mean","ZCR_1_mean","SpectralVariation_1_mean","Energy_1_mean","SpectralVariation_1_std","MFCC_3_std","MFCC_1_mean"
0.2266666667,0.1516666667,1.6635266415,0.1387347695,24.8531812927,0.3102341892,0.0196711018,0.4460033756,2.8470451413,1.1959790787,0.0143864518,0.7641380744,0.0537442294,0.1636128633,0.0597343475,0.0760097275,0.3524988041,3.2130315376
0.7516666667,0.645,2.0982606912,0.1128122275,8.6842156409,0.2296923203,0.0380848571,0.3564645404,0.9963543048,0.1363650167,0.0012628283,0.4098468279,0.1350708008,0.1730515274,0.0035696099,0.0640853424,0.2245865708,1.9068719961
0.8166666667,0.7033333333,1.9407559562,0.0686475112,9.0473706058,0.2274866856,0.0334717373,0.2251136229,0.7260851917,-0.2555034913,0.0014650727,0.3067413451,0.0944435813,0.1597004913,0.0051869935,0.092233951,0.219914318,1.4805318182
0.155,0.6683333333,1.2524975907,0.0674726101,19.3783932208,0.3545734849,0.010947001,0.2668258355,2.1991716245,-1.2114301909,0.03649014,0.8559363031,0.0158081055,0.1070116308,0.0981999087,0.0914724122,0.2230374659,3.4537549485
0.7866666667,0.1166666667,2.3491512946,0.3012111931,12.2665673312,1.0345837725,0.0613561719,1.1595286149,5.2808636126,-0.9690070412,0.0195389338,1.3962176338,0.1946744052,0.1995071156,0.0184870202,0.1092165264,0.6593539178,0.1215390839
0.2633333333,0.3216666667,1.4690782339,0.0541628721,19.0997751804,0.3483264741,0.0164537914,0.2751975268,2.3842603608,-0.1936907273,0.0073447245,0.3251997972,0.0350674716,0.0615190342,0.0340077003,0.0336840115,0.276631694,3.325903995
0.3933333333,0.125,1.5562974267,0.1873831678,13.4304752346,0.9217490509,0.0196960277,0.7086325302,6.8382925816,-0.1445389539,0.0475168293,-1.2360680985,0.0637983842,0.1481909917,0.0369447378,0.0821053842,0.6246388377,4.0639962776
0.0633333333,0.5283333333,1.5063821383,0.048913358,21.1018966037,0.2678573279,0.0094945956,0.2430266347,2.2158574441,-1.9725888156,0.0259501143,-1.1141042949,0.1018510298,0.1057474768,0.0549627273,0.0701247312,0.3167559237,3.3948606052
0.9383333333,0.5016666667,1.5959313917,0.2895749308,8.6044445519,0.5725211832,0.0597333217,0.926352327,1.0635849106,2.0610346577,0.0046118275,0.0457366886,0.0663341175,0.1422961046,0.0117510144,0.1054798768,0.3812305429,3.4788886721
0.8966666667,0.8533333333,1.6981038892,0.0839872113,7.07187594,0.262036549,0.0221521749,0.321063995,0.7052120184,-0.0605788741,0.0007575473,0.241867734,0.0625277433,0.1834025697,0.0031395757,0.0928521396,0.2225175407,2.9403060918
0.31,0.395,1.7915568222,0.2063174865,7.1984234082,0.4798289158,0.035523738,0.3859842783,1.9472508156,-0.1424177006,0.0020293812,0.7535096476,0.0871526545,0.1493301504,0.0034453669,0.0699399255,0.4667704096,2.6221300992
0.8916666667,0.8133333333,2.3688891803,0.1106352408,5.9811877813,0.2577954425,0.0485318564,0.2623163482,0.5009974356,0.4273919741,0.0003689674,0.0514267341,0.1912730824,0.1830967128,0.0015531843,0.0604329743,0.2551825773,2.0801778635
0.1933333333,0.1233333333,1.8938054661,0.1911142542,35.0178919045,0.2897578604,0.0359512481,0.3867354541,5.8345043194,0.0706834742,0.0291205514,0.6431491814,0.0924849077,0.1586065091,0.0885353693,0.0711704291,0.2808388247,2.3256990475
0.3366666667,0.2233333333,1.8231727766,0.0807499558,23.1869969405,0.2823956701,0.0230829352,0.3102842819,2.4212293173,-0.1082343164,0.0070125049,0.4054942345,0.0986494585,0.1818433339,0.0312007899,0.060073036,0.3159041101,2.6551214186
0.1683333333,0.1416666667,1.7735405173,0.1510546037,36.090713593,0.2995400539,0.0285937442,0.4121205012,4.1736243078,-0.1765740223,0.0182552885,0.5048257963,0.0949818004,0.1743356011,0.0852090996,0.0582663616,0.2892069687,3.0108872494
0.6216666667,0.4416666667,1.6552490715,0.1429558427,7.1511999501,0.3097665943,0.0179530454,0.5338904614,1.3081566445,0.5566241183,0.0027003992,0.4206751491,0.0324540572,0.178797121,0.0056262615,0.1301945806,0.2349186655,2.9481792143
0.55,0.3933333333,1.2739460809,0.0742187152,17.5447131834,0.8214348964,0.0249170962,0.4045085553,3.887839609,-0.9730475393,0.0127070618,0.9481143004,0.0624556108,0.084409247,0.0301209863,0.0557186708,0.6066959079,4.7562541393
0.3266666667,0.575,1.1493223925,0.1083975794,8.3708609763,0.4535268449,0.0045173479,0.3775814849,1.1973955597,1.1650754984,0.015698759,0.677905611,0.0039007013,0.0912364183,0.0325854253,0.1226415696,0.4085723528,4.1222468362
0.055,0.255,1.4010401362,0.0750931139,23.6824568783,0.3275183437,0.0140538633,0.6961390828,4.1470647401,-1.1404361084,0.0215769205,-1.2181094546,0.0824307528,0.0736347357,0.0775981653,0.0507945599,0.3383505638,4.1326744218
0.495,0.2666666667,1.1295806683,0.0638620829,23.069487766,0.2567528528,0.0070195233,0.3673399209,2.3375881075,0.5785450502,0.0193565971,0.376610115,0.0275324041,0.155582522,0.0762334161,0.0779132468,0.2870904206,5.4248058406
0.5516666667,0.455,1.5926808349,0.1000785692,11.0619495221,0.292173079,0.0174576164,0.4241273345,1.3357684166,-0.2171965546,0.0045752244,-0.2962935474,0.0374145508,0.1746634803,0.0123099554,0.1110764746,0.256149674,3.3675173761
0.2683333333,0.5816666667,1.6273307248,0.1302556427,26.5582511727,0.2461528648,0.0221135153,0.437814855,2.957972954,0.0912879631,0.0293153938,0.755021543,0.0453380238,0.1178348006,0.0747050525,0.0779533348,0.3014496376,2.8941783921
0.705,0.6333333333,1.4285830088,0.1078207018,16.7784330173,0.4216353932,0.0156746658,0.4686811559,1.3981632375,-0.5133520602,0.0046966964,-0.1805552964,0.0547651811,0.16258056,0.0222424622,0.0760138658,0.3079430663,3.8743756539
0.2533333333,0.7516666667,1.7652826768,0.0667654729,24.7803651352,0.2062256908,0.0180519622,0.2367169077,2.0410247182,0.4449682178,0.0082716376,0.4534736074,0.0653908469,0.1801515237,0.0469131969,0.0851636197,0.2096083271,2.8997729337
0.8333333333,0.7833333333,1.6818138917,0.1275930945,9.0672420333,0.2576834512,0.0214128105,0.4923411507,1.1375038077,0.0938988593,0.00483084,0.4552021728,0.0295576616,0.1449112175,0.0100742792,0.131510542,0.2686211572,2.6902647034
0.1116666667,0.79,1.3813744095,0.0596161306,18.3662523872,0.2008509953,0.0136570755,0.2599468212,1.4784507628,-0.3713236587,0.0136184784,0.4642571946,0.0249966708,0.0833744012,0.0444019302,0.0582174882,0.1812985049,3.4583472072
